geoid,loc_postalcode
5111,40593
5111,40221
5111,40549
5111,40479
5111,40625
5111,40547
5111,40237
16061,37359
16061,37308
16061,37351
16061,37345
16061,37318
16061,37327
16061,37339
9176,92339
9176,85072
9176,85131
9176,85122
9176,85139
9176,85128
9176,85134
9176,85137
9176,85111
9176,85135
9176,85098
9176,85092
9176,91809
9176,85129
9176,85113
9176,85114
9176,85080
9176,91804
9176,85132
9176,93349
9176,93336
9176,85120
9176,85101
9176,85095
9176,85125
9176,85117
9176,85116
9176,91795
9176,85110
7232,54616
7232,54664
7232,54673
7232,54636
7232,54647
7232,54614
7232,54646
7232,54617
7232,54668
7232,54669
7232,54595
7232,54310
7232,54662
7232,54634
7232,54612
7232,54687
7232,54689
7232,54608
7232,54597
7232,54666
7232,54657
7232,54655
7232,54619
7232,54529
7232,54649
7232,54675
3402,26721
3402,26723
8316,79312
8316,79336
8316,79348
8316,79331
8316,79361
8316,79215
8316,79341
8316,79297
8316,79364
8316,79369
8316,79279
8316,79350
8316,79353
8316,79359
8316,79183
8316,79261
8316,79365
8316,79346
8316,79362
8316,79367
8316,79276
8316,79263
5954,58313
5954,45549
5954,58256
5954,45529
5954,58300
5954,45527
5954,58332
5954,58455
5954,45525
5954,58452
5954,58285
5954,58454
5954,58453
5954,58339
8236,75433
8236,75233
8236,75223
8236,75236
8236,75447
8236,75438
8236,75331
8236,71292
8236,75417
8236,75249
8236,75203
8236,75196
8236,75210
8236,71297
8236,75228
8236,71299
8236,75248
8236,75334
8236,75443
8236,75446
8236,75449
8236,75305
8236,75217
8236,75428
8236,75242
8236,75245
8236,75239
9177,85659
9177,85462
9177,84427
9177,84439
9177,84416
9177,84424
9177,85447
9177,85465
9177,85456
9177,85435
9177,85464
9177,85457
9177,85467
9177,84435
9177,85452
9177,85570
9177,85445
9177,85469
9177,84434
9177,84405
9177,84432
9177,85669
9177,85461
9177,85656
16051,99096
16051,99099
16051,99084
16051,99087
16051,99086
16051,99085
16051,99097
16051,99098
16051,99091
16051,99089
16051,99094
14521,9456
14521,9471
14521,8355
14521,8340
14521,9509
14521,9432
14521,8301
14521,9221
14521,9235
14521,9514
14521,9437
14521,9488
14521,9376
14521,9517
14521,9427
14521,9496
14521,8304
14521,9481
14521,8325
14521,9423
14521,9385
14521,9387
14521,9366
14521,9465
14521,9395
14521,9380
14521,9518
14521,9392
14521,9394
14521,9439
14521,9435
14521,8312
14521,9399
14521,8318
14521,9526
14521,8315
14521,9477
14521,8309
14521,9405
14521,9468
14521,8289
14521,9484
14521,8326
14521,8294
14521,9579
14521,8297
14521,9419
14521,9390
14521,8359
14521,9487
14521,8328
14521,9548
14521,8321
14521,9430
14521,9474
14521,8344
14521,8324
14521,8352
14521,9429
14521,8280
5113,45276
5113,45289
5113,45139
5113,45259
5113,45141
5113,45130
5113,45138
5113,45359
5113,45147
5113,45219
5113,45307
5113,45128
5113,45327
5113,45329
5113,45356
5113,45277
5113,45257
5113,45279
5113,45136
5113,45134
5113,45309
5113,45149
5113,45326
5113,45131
5113,45144
5113,45357
5113,45133
5113,45143
5113,45355
5113,45145
5113,45127
8116,73776
8116,72667
8116,72664
8116,72654
8116,72631
8116,73207
8116,70794
8116,73728
8116,73274
8116,73262
8116,73275
8116,70771
8116,73269
8116,73271
8116,72636
8116,72639
8116,73669
8116,72660
8116,73734
8116,72657
8116,73733
8116,73252
8116,72644
8116,72649
8116,73235
8116,73272
8116,73779
8116,73765
8116,73732
8116,73730
8116,73268
8116,73760
8116,73257
8116,72658
8116,73265
8116,73277
8116,72655
8116,72663
8116,72622
8116,73266
8116,73240
8116,72669
8116,73249
8116,73230
8116,73666
8116,73770
8116,72666
5366,53947
5366,53949
5366,53945
5366,53881
5366,53937
5366,53909
5366,53919
5366,53894
5366,53879
5366,53940
5366,53902
12053,15232
12053,15234
6412,60308
6412,65931
6412,60311
6412,60318
6412,60598
6412,60389
6412,60489
6412,60310
6412,60320
6412,60486
6412,60529
6412,60306
6412,60313
6412,60386
6412,60439
6412,60488
6412,60323
6412,65934
6412,60385
6412,60599
6412,60437
6412,65933
6412,60596
6412,60433
6412,60438
6412,60594
6412,60327
6412,60329
6412,60325
6412,60322
6412,60388
6412,60314
6412,60549
6412,60316
6412,60487
6412,60528
6412,65936
6412,60431
6412,60435
6412,65929
8311,79114
8311,79117
8311,79106
8311,79112
8311,79108
8311,79111
8311,79115
8311,79098
8311,79102
8311,79110
8311,79104
8237,72186
8237,72296
8237,72275
8237,77776
8237,72178
8237,72291
8237,72290
8237,72294
8237,72299
8237,72270
8237,72297
8237,72280
8237,72285
8237,72160
8237,72184
8237,72293
9272,94145
9272,94065
9272,94169
9272,94548
9272,94545
9272,94157
9272,94089
9272,94146
9272,94556
9272,94513
9272,94151
9272,94572
9272,94078
9272,94143
9272,94536
9272,94133
9272,94481
9272,94142
9272,94118
9272,94158
9272,94579
9272,94568
9272,94160
9272,94163
9272,94566
3455,26316
3455,26486
3455,26340
3455,26452
3455,26345
3455,26419
3455,26441
6631,36169
6631,36132
6631,36124
6631,36137
6631,36145
6631,36103
6631,36037
6631,36157
6631,36148
6631,36364
6631,36160
6631,36129
6631,36043
6631,36093
6631,36041
6631,36142
6631,36151
6631,36088
6631,36163
6631,36154
6631,36167
6631,36119
6631,36115
6631,36100
9179,82287
9179,82294
9179,81249
9179,82239
9179,82281
9179,82296
9179,82272
9179,82276
9179,82216
9179,82223
9179,82178
9179,82110
9179,82284
9179,82256
9179,82278
9179,82282
9179,82291
9179,82293
9179,82290
9179,82194
9179,82288
9179,82140
9179,82299
9179,82275
9563,90762
9563,90766
9563,90768
9563,90763
5513,45884
5513,45891
5513,45879
5513,45888
5513,45894
5513,45897
5513,45896
5513,45881
5513,45892
5513,45889
5513,45883
5513,45886
16052,7552
16052,7546
16052,7549
16052,7548
16052,7545
6531,35305
6531,35418
6531,35463
6531,35466
6531,35447
6531,35415
6531,35410
6531,35469
6531,35460
6531,35394
6531,35435
6531,35321
6531,35428
6531,35392
6531,35423
6531,35452
6531,35457
6531,35444
6531,35390
6531,35396
6531,35440
6433,65462
6433,65451
6433,64569
6433,64521
6433,64560
6433,64589
6433,64572
6433,65468
6433,65479
6433,64546
6433,65474
6433,64579
6433,65428
8117,73278
8117,73033
8117,73105
8117,73054
8117,73092
8117,73337
8117,73344
8117,73333
8117,73107
8117,73061
8117,73035
8117,73099
8117,73119
8117,73104
8117,73342
8117,73116
8117,73079
8117,73072
8117,73066
8117,73326
8117,73110
8117,73345
8117,73037
8117,73349
8117,73347
8117,73102
8117,73111
8117,73113
8117,73101
8117,73084
8117,73329
8117,73108
8117,73312
8117,73117
8117,73098
8117,89558
8117,73095
8117,73114
5754,33758
5754,33449
5754,33829
5754,33378
5754,33311
5754,33803
5754,33824
5754,33332
5754,33790
5754,33428
5754,33415
5754,33330
5754,33397
5754,33335
5754,33775
5754,33334
5914,58091
5914,58099
5914,58097
5914,58095
5914,58093
5914,58135
5914,58089
2000,22393
2000,20095
2000,20539
2000,20149
2000,22455
2000,22769
2000,22111
2000,20253
2000,20457
2000,20357
2000,21129
2000,22399
2000,20251
2000,22395
2000,22089
2000,20259
2000,20146
2000,20359
2000,22397
2000,20038
2000,20144
2000,22391
2000,22763
2000,21107
2000,20099
2000,22175
2000,22303
2000,22453
2000,22335
2000,22307
2000,22415
2000,22309
2000,21079
2000,22547
2000,22767
2000,22115
2000,22527
2000,22559
2000,22299
2000,22529
2000,21077
2000,22149
2000,20257
2000,22525
2000,22605
2000,22419
2000,27499
2000,22761
2000,20097
2000,21109
2000,20459
2000,20255
2000,22047
2000,22087
2000,22301
2000,22041
2000,22457
2000,22045
2000,22119
2000,21031
2000,21029
2000,22765
2000,22147
2000,22049
2000,22523
2000,22177
2000,22609
2000,22587
2000,22081
2000,21073
2000,22337
2000,22085
2000,21037
2000,20249
2000,21033
2000,21075
2000,22297
2000,20148
2000,22589
2000,21149
2000,22339
2000,22143
2000,20355
2000,22359
2000,22117
2000,21147
2000,20537
2000,22179
2000,22417
2000,22043
2000,22607
2000,22083
2000,20354
2000,22459
2000,22159
2000,22549
2000,20535
2000,22305
3252,31848
3252,31787
3252,31812
3252,31855
3252,31860
3252,31840
3252,31863
3252,31789
3252,31020
5915,59067
5915,59065
5915,59075
5915,59071
5915,59069
5915,59063
5915,59073
8221,69124
8221,69118
8221,69126
8221,69120
8221,69115
8221,69123
8221,69117
8121,74072
8121,74078
8121,74080
8121,74074
8121,74081
5758,32584
5758,32052
5758,32278
5758,32120
5758,32257
5758,32051
5758,32049
5758,32139
5758,32130
5758,32289
5916,44653
5916,44651
5916,44627
5916,44629
5916,44649
5916,44628
5916,44652
5916,44625
6632,36217
6632,36219
6632,36251
6632,36266
6632,36214
6632,36289
6632,36275
6632,36179
6632,36211
6632,36282
6632,36269
6632,36166
6632,36199
6632,36272
6632,36208
6632,36284
6632,36286
6632,36277
5958,59823
5958,59909
5958,59889
5958,59939
5958,59872
5958,59846
5958,59759
5958,59955
5958,59929
5958,59757
5958,34431
5958,59821
5958,57392
5958,59964
6434,61389
6434,61352
6434,61476
6434,61250
6434,61449
6434,61440
6434,61348
6434,61350
6434,61276
6434,61479
6434,61279
6434,61267
6434,61462
6434,61381
9464,95028
9464,95030
8126,74676
8126,74638
8126,74673
8126,74214
8126,74238
8126,74653
8126,74635
8126,74639
8126,74629
8126,74632
8126,74677
8126,74670
8126,74613
8126,74626
5762,37671
5762,34414
5762,33014
5762,33034
5762,34434
5762,37688
5762,34439
5762,37696
5762,32839
16070,99310
16070,98714
16070,98716
16070,99130
16070,98704
16070,99102
16070,99330
16070,99334
16070,98701
16070,99338
16070,99326
16070,98708
16070,98693
9161,85053
9161,85055
9161,85051
9161,85057
16053,7745
16053,7743
16053,7749
15086,39319
15086,39317
15086,39175
15086,39288
15086,39307
15086,39291
15086,39279
7312,67655
7312,67653
7312,67659
7312,67663
8215,76344
8215,75053
8215,76316
8215,76275
8215,76709
8215,76703
8215,76187
8215,76133
8215,68794
8215,76359
8215,75056
8215,76149
8215,75015
8215,76199
8215,76661
8215,76229
8215,76676
8215,75057
8215,76698
8215,76297
8215,76684
8215,76337
8215,75059
8215,76131
8215,76227
8215,76135
8215,76694
8215,76185
8215,75038
8215,76327
8215,76351
8215,76189
8215,76006
8215,76707
8215,76307
8215,76646
8215,76139
8215,75045
8215,76689
8215,76287
8215,76669
8215,76706
8215,76228
8215,68753
8215,76137
6633,34260
6633,34379
6633,34298
6633,34308
6633,34292
6633,34246
6633,34277
6633,34329
6633,34317
6633,34369
6633,34376
6633,34385
6633,34233
6633,34289
6633,34388
6633,34314
6633,34393
6633,34479
6633,34311
