country_code,statisticalAreaCode,statisticalArea,year,population
DEU,DED2,"Dresden, NUTS 2-Region",1970,1.8730000000000002
DEU,DED4,"Chemnitz, NUTS 2-Region",1970,2.048
DEU,DED5,"Leipzig, NUTS 2-Region",1970,1.4909999999999999
DEU,DEE0,Sachsen-Anhalt,1970,3.2430000000000003
DEU,DEF0,Schleswig-Holstein,1970,2.494
DEU,DEG0,Thüringen,1970,2.5469999999999997
GBR,UKI,London Counties,1970,7.422999999999999
GBR,UKH+UKJ,Rest of SouthEast,1970,11.243
GBR,UKK,SouthWest,1970,3.8480000000000003
GBR,UKG,West Midlands,1970,5.073
GBR,UKF,East  Midlands,1970,3.614
GBR,UKC+UKD,North,1970,9.94
GBR,UKE,Yorks  & Humberside,1970,4.613
GBR,UKL,Wales,1970,2.722
GBR,UKM,Scotland,1970,5.224
GBR,UKN,Northern Ireland,1970,1.525
FRA,FR10,Île de France,1980,10.073
FRA,FR21,Champagne-Ardenne,1980,1.3459999999999999
FRA,FR22,Picardie,1980,1.74
FRA,FR23,Haute-Normandie,1980,1.655
FRA,FR24,Centre,1980,2.2640000000000002
FRA,FR25,Basse-Normandie,1980,1.351
FRA,FR26,Bourgogne,1980,1.5959999999999999
FRA,FR30,Nord - Pas-de-Calais,1980,3.9330000000000003
FRA,FR41,Lorraine,1980,2.32
FRA,FR42,Alsace,1980,1.5659999999999998
FRA,FR43,Franche-Comté,1980,1.084
FRA,FR51,Pays de la Loire,1980,2.93
FRA,FR52,Bretagne,1980,2.708
FRA,FR53,Poitou-Charentes,1980,1.568
FRA,FR61,Aquitaine,1980,2.657
FRA,FR62,Midi-Pyrénées,1980,2.325
FRA,FR63,Limousin,1980,737.0
FRA,FR71,Rhône-Alpes,1980,5.016
FRA,FR72,Auvergne,1980,1.3330000000000002
FRA,FR81,Languedoc-Roussillon,1980,1.9269999999999998
FRA,FR82,Provence-Alpes-Côte d'Azur,1980,3.965
FRA,FR83,Corse,1980,240.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1980,3.4589999999999996
DEU,DE12,"Karlsruhe, Regierungsbezirk",1980,2.38
DEU,DE13,"Freiburg, Regierungsbezirk",1980,1.851
DEU,DE14,"Tübingen, Regierungsbezirk",1980,1.499
DEU,DE21,"Oberbayern, Regierungsbezirk",1980,3.6430000000000002
DEU,DE22,"Niederbayern, Regierungsbezirk",1980,997.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1980,966.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1980,1.052
DEU,DE25,"Mittelfranken, Regierungsbezirk",1980,1.518
DEU,DE26,"Unterfranken, Regierungsbezirk",1980,1.193
DEU,DE27,"Schwaben, Regierungsbezirk",1980,1.5290000000000001
DEU,DE30,Berlin,1980,3.051
DEU,DE40,Brandenburg,1980,2.667
DEU,DE50,Bremen,1980,695.0
DEU,DE60,Hamburg,1980,1.649
DEU,DE71+DE72,Darmstadt and Giessen,1980,4.303999999999999
DEU,DE73,"Kassel, Regierungsbezirk",1980,1.401
