country_code,statisticalAreaCode,statisticalArea,year,gdp
FRA,FR72,Auvergne,1960,8197.0
FRA,FR81,Languedoc-Roussillon,1960,8078.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1960,17940.0
FRA,FR83,Corse,1960,1080.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1960,28830.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1960,19345.0
DEU,DE13,"Freiburg, Regierungsbezirk",1960,10930.0
DEU,DE14,"Tübingen, Regierungsbezirk",1960,8698.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1960,23342.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1960,4719.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1960,4997.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1960,7406.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1960,10771.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1960,6818.0
DEU,DE27,"Schwaben, Regierungsbezirk",1960,9571.0
DEU,DE30,Berlin,1960,24782.0
DEU,DE40,Brandenburg,1960,14229.0
DEU,DE50,Bremen,1960,7199.0
DEU,DE60,Hamburg,1960,24958.0
DEU,DE71+DE72,Darmstadt and Giessen,1960,31154.0
DEU,DE73,"Kassel, Regierungsbezirk",1960,7957.0
DEU,DE80,Mecklenburg-Vorpommern,1960,11376.0
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1960,24859.0
DEU,DE93,Statistische Region Lüneburg,1960,9614.0
DEU,DE94,Statistische Region Weser-Ems,1960,13184.0
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1960,51711.0
DEU,DEA2,"Köln, Regierungsbezirk",1960,27285.0
DEU,DEA3,"Münster, Regierungsbezirk",1960,16620.0
DEU,DEA4,"Detmold, Regierungsbezirk",1960,12023.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1960,29264.0
DEU,DEB1,Statistische Region Koblenz,1960,7564.0
DEU,DEB2,Statistische Region Trier,1960,2264.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1960,11201.0
DEU,DEC0,Saarland,1960,7691.0
DEU,DED2,"Dresden, NUTS 2-Region",1960,11462.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1960,12848.0
DEU,DED5,"Leipzig, NUTS 2-Region",1960,9098.0
DEU,DEE0,Sachsen-Anhalt,1960,19287.0
DEU,DEF0,Schleswig-Holstein,1960,15155.0
DEU,DEG0,Thüringen,1960,15705.0
GBR,UKI,London Counties,1960,90169.0
GBR,UKH+UKJ,Rest of SouthEast,1960,78927.0
GBR,UKK,SouthWest,1960,26948.0
GBR,UKG,West Midlands,1960,42716.0
GBR,UKF,East  Midlands,1960,28062.0
GBR,UKC+UKD,North,1960,79778.0
GBR,UKE,Yorks  & Humberside,1960,36463.0
GBR,UKL,Wales,1960,20684.0
GBR,UKM,Scotland,1960,40019.0
GBR,UKN,Northern Ireland,1960,8922.0
FRA,FR10,Île de France,1970,164171.0
FRA,FR21,Champagne-Ardenne,1970,14146.0
FRA,FR22,Picardie,1970,18231.0
FRA,FR23,Haute-Normandie,1970,17868.0
FRA,FR24,Centre,1970,22715.0
FRA,FR25,Basse-Normandie,1970,13473.0
FRA,FR26,Bourgogne,1970,16146.0
FRA,FR30,Nord - Pas-de-Calais,1970,38212.0
FRA,FR41,Lorraine,1970,24955.0
FRA,FR42,Alsace,1970,16629.0
FRA,FR43,Franche-Comté,1970,10749.0
FRA,FR51,Pays de la Loire,1970,27277.0
FRA,FR52,Bretagne,1970,24269.0
FRA,FR53,Poitou-Charentes,1970,14203.0
FRA,FR61,Aquitaine,1970,25181.0
FRA,FR62,Midi-Pyrénées,1970,20665.0
FRA,FR63,Limousin,1970,7377.0
FRA,FR71,Rhône-Alpes,1970,52400.0
FRA,FR72,Auvergne,1970,12765.0
FRA,FR81,Languedoc-Roussillon,1970,16191.0
FRA,FR82,Provence-Alpes-Côte d'Azur,1970,33110.0
FRA,FR83,Corse,1970,1658.0
DEU,DE11,"Stuttgart, Regierungsbezirk",1970,45739.0
DEU,DE12,"Karlsruhe, Regierungsbezirk",1970,32973.0
DEU,DE13,"Freiburg, Regierungsbezirk",1970,18683.0
DEU,DE14,"Tübingen, Regierungsbezirk",1970,15273.0
DEU,DE21,"Oberbayern, Regierungsbezirk",1970,44526.0
DEU,DE22,"Niederbayern, Regierungsbezirk",1970,7937.0
DEU,DE23,"Oberpfalz, Regierungsbezirk",1970,8232.0
DEU,DE24,"Oberfranken, Regierungsbezirk",1970,11252.0
DEU,DE25,"Mittelfranken, Regierungsbezirk",1970,17833.0
DEU,DE26,"Unterfranken, Regierungsbezirk",1970,10959.0
DEU,DE27,"Schwaben, Regierungsbezirk",1970,16225.0
DEU,DE30,Berlin,1970,35590.0
DEU,DE40,Brandenburg,1970,19099.0
DEU,DE50,Bremen,1970,10894.0
DEU,DE60,Hamburg,1970,34681.0
DEU,DE71+DE72,Darmstadt and Giessen,1970,53522.0
DEU,DE73,"Kassel, Regierungsbezirk",1970,12597.0
DEU,DE80,Mecklenburg-Vorpommern,1970,14345.0
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1970,36761.0
DEU,DE93,Statistische Region Lüneburg,1970,15298.0
DEU,DE94,Statistische Region Weser-Ems,1970,17367.0
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1970,77309.0
DEU,DEA2,"Köln, Regierungsbezirk",1970,42572.0
DEU,DEA3,"Münster, Regierungsbezirk",1970,23587.0
DEU,DEA4,"Detmold, Regierungsbezirk",1970,19415.0
DEU,DEA5,"Arnsberg, Regierungsbezirk",1970,43149.0
DEU,DEB1,Statistische Region Koblenz,1970,12724.0
DEU,DEB2,Statistische Region Trier,1970,4165.0
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1970,21867.0
DEU,DEC0,Saarland,1970,11021.0
DEU,DED2,"Dresden, NUTS 2-Region",1970,15277.0
DEU,DED4,"Chemnitz, NUTS 2-Region",1970,17554.0
DEU,DED5,"Leipzig, NUTS 2-Region",1970,12319.0
DEU,DEE0,Sachsen-Anhalt,1970,25238.0
DEU,DEF0,Schleswig-Holstein,1970,23696.0
DEU,DEG0,Thüringen,1970,20454.0
GBR,UKI,London Counties,1970,116077.0
GBR,UKH+UKJ,Rest of SouthEast,1970,112386.0
GBR,UKK,SouthWest,1970,38365.0
GBR,UKG,West Midlands,1970,56668.0
GBR,UKF,East  Midlands,1970,35424.0
GBR,UKC+UKD,North,1970,101145.0
GBR,UKE,Yorks  & Humberside,1970,48261.0
GBR,UKL,Wales,1970,26074.0
GBR,UKM,Scotland,1970,52300.0
GBR,UKN,Northern Ireland,1970,12261.0
FRA,FR10,Île de France,1980,220313.0
FRA,FR21,Champagne-Ardenne,1980,20532.0
FRA,FR22,Picardie,1980,23294.0
FRA,FR23,Haute-Normandie,1980,26527.0
FRA,FR24,Centre,1980,30923.0
FRA,FR25,Basse-Normandie,1980,16667.0
FRA,FR26,Bourgogne,1980,21175.0
FRA,FR30,Nord - Pas-de-Calais,1980,49534.0
FRA,FR41,Lorraine,1980,30857.0
FRA,FR42,Alsace,1980,24055.0
FRA,FR43,Franche-Comté,1980,14064.0
FRA,FR51,Pays de la Loire,1980,38160.0
FRA,FR52,Bretagne,1980,33644.0
FRA,FR53,Poitou-Charentes,1980,18913.0
FRA,FR61,Aquitaine,1980,37099.0
FRA,FR62,Midi-Pyrénées,1980,28355.0
FRA,FR63,Limousin,1980,8440.0
FRA,FR71,Rhône-Alpes,1980,73291.0
