country_code,country,source1,source2,year,exports
AUL,Australia,1.0,1.0,1910,
AUL,Australia,1.0,1.0,1911,
AUL,Australia,1.0,1.0,1912,
AUL,Australia,1.0,1.0,1913,
AUL,Australia,1.0,1.0,1914,
AUL,Australia,1.0,1.0,1915,
AUL,Australia,1.0,1.0,1916,
AUL,Australia,1.0,1.0,1917,
AUL,Australia,1.0,1.0,1918,
AUL,Australia,1.0,1.0,1919,
AUL,Australia,1.0,1.0,1920,660.789978027344
AUL,Australia,1.0,1.0,1921,451.914306640625
AUL,Australia,1.0,1.0,1922,459.7353515625
AUL,Australia,1.0,1.0,1923,516.6527099609381
AUL,Australia,1.0,1.0,1924,691.1755981445309
AUL,Australia,1.0,1.0,1925,616.5386962890619
AUL,Australia,1.0,1.0,1926,626.238952636719
AUL,Australia,1.0,1.0,1927,646.441650390625
AUL,Australia,1.0,1.0,1928,652.125671386719
AUL,Australia,1.0,1.0,1929,456.272644042969
AUL,Australia,1.0,1.0,1930,590.475036621094
AUL,Australia,1.0,1.0,1931,392.00070190429705
AUL,Australia,1.0,1.0,1932,293.849639892578
AUL,Australia,1.0,1.0,1933,390.19821166992205
AUL,Australia,1.0,1.0,1934,427.568542480469
AUL,Australia,1.0,1.0,1935,453.0
AUL,Australia,1.0,1.0,1936,579.5225830078119
AUL,Australia,1.0,1.0,1937,547.2825927734381
AUL,Australia,1.0,1.0,1938,475.219421386719
AUL,Australia,1.0,1.0,1939,426.0
AUL,Australia,1.0,1.0,1940,499.0
AUL,Australia,1.0,1.0,1941,435.48385620117205
AUL,Australia,1.0,1.0,1942,515.48388671875
AUL,Australia,1.0,1.0,1943,405.161285400391
AUL,Australia,1.0,1.0,1944,473.22579956054705
AUL,Australia,1.0,1.0,1945,500.96774291992205
AUL,Australia,1.0,1.0,1946,635.161315917969
AUL,Australia,1.0,1.0,1947,996.774169921875
AUL,Australia,1.0,1.0,1948,1626.0
AUL,Australia,1.0,1.0,1949,1554.0
AUL,Australia,1.0,1.0,1950,1625.0
AUL,Australia,1.0,1.0,1951,1986.0
AUL,Australia,1.0,1.0,1952,1664.0
AUL,Australia,1.0,1.0,1953,1958.0
AUL,Australia,1.0,1.0,1954,1602.0
AUL,Australia,1.0,1.0,1955,1699.0
AUL,Australia,1.0,1.0,1956,1822.0
AUL,Australia,1.0,1.0,1957,2146.0
AUL,Australia,1.0,1.0,1958,1618.0
AUL,Australia,1.0,1.0,1959,1969.0
AUL,Australia,1.0,1.0,1960,
AUL,Australia,1.0,1.0,1961,
AUL,Australia,1.0,1.0,1962,
AUL,Australia,1.0,1.0,1963,
AUL,Australia,1.0,1.0,1964,
AUL,Australia,1.0,1.0,1965,
AUL,Australia,1.0,1.0,1966,
AUL,Australia,1.0,1.0,1967,
AUL,Australia,1.0,1.0,1968,
AUL,Australia,1.0,1.0,1969,
AUL,Australia,1.0,1.0,1970,
AUL,Australia,1.0,1.0,1971,
AUL,Australia,1.0,1.0,1972,
AUL,Australia,1.0,1.0,1973,
AUL,Australia,1.0,1.0,1974,
AUL,Australia,1.0,1.0,1975,
AUL,Australia,1.0,1.0,1976,
AUL,Australia,1.0,1.0,1977,
AUL,Australia,1.0,1.0,1978,
AUL,Australia,1.0,1.0,1979,
AUL,Australia,1.0,1.0,1980,
AUL,Australia,1.0,1.0,1981,
AUL,Australia,1.0,1.0,1982,
AUL,Australia,1.0,1.0,1983,
AUL,Australia,1.0,1.0,1984,
AUL,Australia,1.0,1.0,1985,
AUL,Australia,1.0,1.0,1986,
AUL,Australia,1.0,1.0,1987,
AUL,Australia,1.0,1.0,1988,
AUL,Australia,1.0,1.0,1989,
AUL,Australia,1.0,1.0,1990,
AUL,Australia,1.0,1.0,1991,
AUL,Australia,1.0,1.0,1992,
AUL,Australia,1.0,1.0,1993,
AUL,Australia,1.0,1.0,1994,
AUL,Australia,1.0,1.0,1995,
AUL,Australia,1.0,1.0,1996,
AUL,Australia,1.0,1.0,1997,
AUL,Australia,1.0,1.0,1998,
AUL,Australia,1.0,1.0,1999,
AUL,Australia,1.0,1.0,2000,
AUL,Australia,1.0,1.0,2001,
AUL,Australia,1.0,1.0,2002,
AUL,Australia,1.0,1.0,2003,
AUL,Australia,1.0,1.0,2004,
AUL,Australia,1.0,1.0,2005,
AUL,Australia,1.0,1.0,2006,
AUL,Australia,1.0,1.0,2007,
AUL,Australia,1.0,1.0,2008,
AUL,Australia,1.0,1.0,2009,
AUL,Australia,1.0,1.0,2010,
AUL,Australia,1.0,1.0,2011,
AUL,Australia,1.0,1.0,2012,
AUL,Australia,1.0,1.0,2013,
AUL,Australia,1.0,1.0,2014,
AUL,Australia,2.0,2.0,1870,
AUL,Australia,2.0,2.0,1871,
AUL,Australia,2.0,2.0,1872,
AUL,Australia,2.0,2.0,1873,
AUL,Australia,2.0,2.0,1874,
AUL,Australia,2.0,2.0,1875,
AUL,Australia,2.0,2.0,1876,
AUL,Australia,2.0,2.0,1877,
AUL,Australia,2.0,2.0,1878,
AUL,Australia,2.0,2.0,1879,
AUL,Australia,2.0,2.0,1880,
AUL,Australia,2.0,2.0,1881,
AUL,Australia,2.0,2.0,1882,
AUL,Australia,2.0,2.0,1883,
AUL,Australia,2.0,2.0,1884,
AUL,Australia,2.0,2.0,1885,
AUL,Australia,2.0,2.0,1886,
AUL,Australia,2.0,2.0,1887,
AUL,Australia,2.0,2.0,1888,
AUL,Australia,2.0,2.0,1889,
AUL,Australia,2.0,2.0,1890,
AUL,Australia,2.0,2.0,1891,
AUL,Australia,2.0,2.0,1892,
AUL,Australia,2.0,2.0,1893,
