country_code,statisticalAreaCode,statisticalArea,year,share_industry
FRA,FR25,Basse-Normandie,1960,0.269
FRA,FR26,Bourgogne,1960,0.343
FRA,FR30,Nord - Pas-de-Calais,1960,0.536
FRA,FR41,Lorraine,1960,0.434
FRA,FR42,Alsace,1960,0.456
FRA,FR43,Franche-Comté,1960,0.466
FRA,FR51,Pays de la Loire,1960,0.301
FRA,FR52,Bretagne,1960,0.236
FRA,FR53,Poitou-Charentes,1960,0.266
FRA,FR61,Aquitaine,1960,0.278
FRA,FR62,Midi-Pyrénées,1960,0.293
FRA,FR63,Limousin,1960,0.269
FRA,FR71,Rhône-Alpes,1960,0.455
FRA,FR72,Auvergne,1960,0.324
FRA,FR81,Languedoc-Roussillon,1960,0.28
FRA,FR82,Provence-Alpes-Côte d'Azur,1960,0.334
FRA,FR83,Corse,1960,0.207
DEU,DE11,"Stuttgart, Regierungsbezirk",1960,0.556
DEU,DE12,"Karlsruhe, Regierungsbezirk",1960,0.511
DEU,DE13,"Freiburg, Regierungsbezirk",1960,0.467
DEU,DE14,"Tübingen, Regierungsbezirk",1960,0.533
DEU,DE21,"Oberbayern, Regierungsbezirk",1960,0.417
DEU,DE22,"Niederbayern, Regierungsbezirk",1960,0.356
DEU,DE23,"Oberpfalz, Regierungsbezirk",1960,0.429
DEU,DE24,"Oberfranken, Regierungsbezirk",1960,0.537
DEU,DE25,"Mittelfranken, Regierungsbezirk",1960,0.491
DEU,DE26,"Unterfranken, Regierungsbezirk",1960,0.441
DEU,DE27,"Schwaben, Regierungsbezirk",1960,0.461
DEU,DE30,Berlin,1960,0.508
DEU,DE40,Brandenburg,1960,0.506
DEU,DE50,Bremen,1960,0.415
DEU,DE60,Hamburg,1960,0.395
DEU,DE71+DE72,Darmstadt and Giessen,1960,0.482
DEU,DE73,"Kassel, Regierungsbezirk",1960,0.419
DEU,DE80,Mecklenburg-Vorpommern,1960,0.382
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1960,0.474
DEU,DE93,Statistische Region Lüneburg,1960,0.388
DEU,DE94,Statistische Region Weser-Ems,1960,0.382
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1960,0.583
DEU,DEA2,"Köln, Regierungsbezirk",1960,0.508
DEU,DEA3,"Münster, Regierungsbezirk",1960,0.558
DEU,DEA4,"Detmold, Regierungsbezirk",1960,0.527
DEU,DEA5,"Arnsberg, Regierungsbezirk",1960,0.604
DEU,DEB1,Statistische Region Koblenz,1960,0.406
DEU,DEB2,Statistische Region Trier,1960,0.282
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1960,0.479
DEU,DEC0,Saarland,1960,0.542
DEU,DED2,"Dresden, NUTS 2-Region",1960,0.656
DEU,DED4,"Chemnitz, NUTS 2-Region",1960,0.732
DEU,DED5,"Leipzig, NUTS 2-Region",1960,0.635
DEU,DEE0,Sachsen-Anhalt,1960,0.578
DEU,DEF0,Schleswig-Holstein,1960,0.393
DEU,DEG0,Thüringen,1960,0.605
GBR,UKI,London Counties,1960,0.392
GBR,UKH+UKJ,Rest of SouthEast,1960,0.41
GBR,UKK,SouthWest,1960,0.365
GBR,UKG,West Midlands,1960,0.637
GBR,UKF,East  Midlands,1960,0.494
GBR,UKC+UKD,North,1960,0.531
GBR,UKE,Yorks  & Humberside,1960,0.564
GBR,UKL,Wales,1960,0.474
GBR,UKM,Scotland,1960,0.458
GBR,UKN,Northern Ireland,1960,0.431
FRA,FR10,Île de France,1970,0.397
FRA,FR21,Champagne-Ardenne,1970,0.437
FRA,FR22,Picardie,1970,0.452
FRA,FR23,Haute-Normandie,1970,0.428
FRA,FR24,Centre,1970,0.392
FRA,FR25,Basse-Normandie,1970,0.313
FRA,FR26,Bourgogne,1970,0.388
FRA,FR30,Nord - Pas-de-Calais,1970,0.503
FRA,FR41,Lorraine,1970,0.362
FRA,FR42,Alsace,1970,0.45
FRA,FR43,Franche-Comté,1970,0.507
FRA,FR51,Pays de la Loire,1970,0.356
FRA,FR52,Bretagne,1970,0.279
FRA,FR53,Poitou-Charentes,1970,0.319
FRA,FR61,Aquitaine,1970,0.321
FRA,FR62,Midi-Pyrénées,1970,0.326
FRA,FR63,Limousin,1970,0.317
FRA,FR71,Rhône-Alpes,1970,0.468
FRA,FR72,Auvergne,1970,0.37
FRA,FR81,Languedoc-Roussillon,1970,0.295
FRA,FR82,Provence-Alpes-Côte d'Azur,1970,0.336
FRA,FR83,Corse,1970,0.25
DEU,DE11,"Stuttgart, Regierungsbezirk",1970,0.574
DEU,DE12,"Karlsruhe, Regierungsbezirk",1970,0.53
DEU,DE13,"Freiburg, Regierungsbezirk",1970,0.503
DEU,DE14,"Tübingen, Regierungsbezirk",1970,0.564
DEU,DE21,"Oberbayern, Regierungsbezirk",1970,0.433
DEU,DE22,"Niederbayern, Regierungsbezirk",1970,0.424
DEU,DE23,"Oberpfalz, Regierungsbezirk",1970,0.468
DEU,DE24,"Oberfranken, Regierungsbezirk",1970,0.557
DEU,DE25,"Mittelfranken, Regierungsbezirk",1970,0.508
DEU,DE26,"Unterfranken, Regierungsbezirk",1970,0.499
DEU,DE27,"Schwaben, Regierungsbezirk",1970,0.485
DEU,DE30,Berlin,1970,0.45
DEU,DE40,Brandenburg,1970,0.454
DEU,DE50,Bremen,1970,0.378
DEU,DE60,Hamburg,1970,0.358
DEU,DE71+DE72,Darmstadt and Giessen,1970,0.5
DEU,DE73,"Kassel, Regierungsbezirk",1970,0.452
