nutsCode,nuts,area
21004,Rhinelander,3300.52
21101,Rice Lake,4024.6099
21102,Amery,1836.77
21201,Hutchinson,1751.2
21202,Redwood Falls,1868.55
21301,Mankato,2765.3599
21302,Owatonna,1381.14
21400,St. Cloud,2935.8101
21501,Minneapolis,5913.54
21502,Pine City,1968.0901
21600,Brainerd,8494.2305
21701,Rochester,3286.6799
21702,Austin,1434.3999
21801,Mason City,1951.6799
21802,Decorah,2640.01
21900,Marshalltown,2614.6799
22001,Waterloo,3400.6299
22002,Iowa Falls,1153.05
22100,Iowa City,2642.99
22200,Cedar Rapids,2607.27
22300,Ottumwa,4026.46
22400,Sheboygan,2764.9199
22500,Appleton,4169.4199
22601,Green Bay,5219.2002
22602,Shawano,2162.3601
22700,Wausau,7007.8301
22800,Eau Claire,5892.7202
22900,La Crosse,3578.0999
23000,Monroe,3001.97
23100,Madison,4704.79
23200,Dubuque,3266.1001
23301,Charleston,1986.25
23302,Douglas,2619.02
23400,Bloomington,2637.0
23500,Decatur,4039.76
23600,Burlington,3127.0
23700,Galesburg,2735.6699
23801,Davenport,2602.1699
23802,Clinton,1360.0701
23900,Peoria,4987.2998
24000,Kenosha,2849.1499
24100,Milwaukee,4812.4199
24200,Bourbonnais,1799.6
24300,Chicago,6077.6899
24400,Rockford,4656.6299
24500,Rolla,3324.8
24600,Farmington,3257.9199
24701,St. Louis,6195.3301
24702,Mexico,1238.8
24801,Jacksonville,2503.8999
24802,Springfield,2527.26
24900,Edwardsville,3361.26
25000,Quincy,3843.8701
25101,Mountain Home,1982.29
25102,West Plains,4523.7798
25103,Harrison,2735.99
25104,Heber Springs,1925.78
25105,Batesville,1962.1001
25200,Henderson,2696.29
25300,Union City,2177.24
25401,Paducah,2040.08
25402,Murray,410.81
25500,Centralia,2662.98
25601,Carbondale,3749.4199
25602,Harrisburg,896.9500099999999
25701,Cape Girardeau,3589.5901
25702,Poplar Bluff,2613.9102
25800,Blytheville,1979.38
25900,Jonesboro,3946.1001
26001,Roseau,3453.5601
26002,Duluth,12206.979
26003,West Cook,3339.29
26004,International Falls,3154.3501
26101,Moberly,2472.98
26102,Marshall,2005.48
26103,Brookfield,1389.8
26104,Trenton,893.2199699999999
26105,Polk,1171.1799
26106,Centerville,1477.72
26107,Kirksville,1823.62
26201,Bismarck,7785.5
26202,East Grant,1666.02
26203,Linton,3561.0801
26204,Steele,1433.3
26301,Devils Lake,3749.1201
26302,Carrington,1291.01
26303,Turtle Mountain,1981.01
26304,Minot,6558.1299
26305,Rugby,3378.79
26401,Ekalaka,6026.0498
26402,Baker,1623.0601
26403,Bowman,2386.3
26404,Lemmon,5013.52
26405,Scobey,1426.5699
26406,Wolf Point,5052.54
26407,Plentywood,1706.38
26408,Glasgow,10274.301
26409,Glendive,4275.75
26410,Dickinson,4576.3999
26411,Sidney,6905.29
26412,Williston,4571.6499
26501,Brookings,2189.6799
26502,Madison,1147.13
