statisticalAreaCode ,statisticalArea ,year ,population_raw,population
UKD4,Lancashire,1901,808339.5,1046135.17621686
UKD6,Cheshire,1901,498034.5,434827.659271593
UKD7,Merseyside,1901,1220294,1369233.9730451
UKE1,East Yorkshire and Northern Lincolnshire,1901,145315,470219.009168773
UKE2,North Yorkshire,1901,357317,497419.94228392
UKE3,South Yorkshire,1901,817747.5,842136.678043169
UKE4,West Yorkshire,1901,1722133.5,1783250.33676191
UKF1,Derbyshire and Nottinghamshire,1901,759633.5,1044708.53236959
UKF2,Leicestershire  Rutland and Northamptonshire,1901,530811.5,686956.461837408
UKF3,Lincolnshire,1901,372567,387990.517460503
UKG1,Herefordshire  Worcestershire and Warwickshire,1901,590166,602920.078585462
UKG2,Shropshire and Staffordshire,1901,610110,858266.144430402
UKG3,West Midlands,1901,1516418.5,1566293.75838347
UKH1,East Anglia,1901,1101944,1241152.00767025
UKH2,Bedfordshire and Hertfordshire,1901,315254.5,434211.073803631
UKH3,Essex,1901,348283,441742.170423483
UKI3,Inner London - West,1901,1489000,1526373.11411522
UKI4,Inner London - East,1901,3215000,3286479.56289938
UKI5,Outer London - East and North East,1901,686000,693224.951521197
UKI6,Outer London - South,1901,399000,402382.726685929
UKI7,Outer London - West and North West,1901,524000,528720.849449324
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1901,724322,840112.182571188
UKJ2,Surrey  East and West Sussex,1901,778420.5,910904.873705051
UKJ3,Hampshire and Isle of Wight,1901,425708,593207.455050558
UKJ4,Kent,1901,672506.5,836996.491369244
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1901,850401.5,1370216.03010923
UKK2,Dorset and Somerset,1901,467517.5,656424.208876081
UKK3,Cornwall and Isles of Scilly,1901,324056,339728.099305598
UKK4,Devon,1901,423126,723606.826055844
UKL1,West Wales and The Valleys,1901,1164484.5,1562692.34610361
UKL2,East Wales,1901,1677091.5,687865.644082951
UKM5,North Eastern Scotland,1901,463494.75,434940.209775309
UKM6,Highlands and Islands,1901,431559,677890.426032666
UKM7,Eastern Scotland,1901,1335940,1508744.88517892
UKM8,West Central Scotland,1901,1963075.5,1852485.42016428
UKM9,Southern Scotland,1901,1340081.5,1136172.57408474
UKN0,Northern Ireland,1901,1236952,1236952
UKC1,Tees Valley and Durham,1911,492580,1169108.44090323
UKC2,Northumberland and Tyne and Wear,1911,1355244,1394209.05385978
UKD1,Cumbria,1911,439645,455731.998604092
UKD3,Greater Manchester,1911,2617248,2694996.64082078
UKD4,Lancashire,1911,879719,1138512.95289457
UKD6,Cheshire,1911,531352,463916.749561084
UKD7,Merseyside,1911,1379704,1548100.36724447
UKE1,East Yorkshire and Northern Lincolnshire,1911,152242,492633.812021281
UKE2,North Yorkshire,1911,371049,516536.219000232
UKE3,South Yorkshire,1911,968802,997696.352433457
UKE4,West Yorkshire,1911,1848762,1914372.75861171
UKF1,Derbyshire and Nottinghamshire,1911,879021,1208899.73761301
UKF2,Leicestershire  Rutland and Northamptonshire,1911,572324,740680.392313717
UKF3,Lincolnshire,1911,387105,403130.361147251
UKG1,Herefordshire  Worcestershire and Warwickshire,1911,620657,634070.019646365
UKG2,Shropshire and Staffordshire,1911,605793,852193.247828959
UKG3,West Midlands,1911,1735849,1792941.36427127
UKH1,East Anglia,1911,1139175,1283086.38037664
UKH2,Bedfordshire and Hertfordshire,1911,357947,493012.950599558
UKH3,Essex,1911,374637,475168.071657078
UKI3,Inner London - West,1911,1506000,1543799.80514273
UKI4,Inner London - East,1911,3325000,3398925.20890838
UKI5,Outer London - East and North East,1911,871000,880173.371392074
UKI6,Outer London - South,1911,527000,531467.912189185
UKI7,Outer London - West and North West,1911,762000,768865.052061804
UKJ1,Berkshire  Buckinghamshire and Oxfordshire,1911,754895,875572.585206685
UKJ2,Surrey  East and West Sussex,1911,875497,1024503.4453925
UKJ3,Hampshire and Isle of Wight,1911,474100,660639.815177233
UKJ4,Kent,1911,731316,910190.349211778
UKK1,Gloucestershire  Wiltshire and Bath/Bristol area,1911,886599,1428539.53347779
UKK2,Dorset and Somerset,1911,471465,661966.749132945
UKK3,Cornwall and Isles of Scilly,1911,326626,342422.39046273
UKK4,Devon,1911,428052,732031.000474696
UKL1,West Wales and The Valleys,1911,1350224,1811947.44140038
UKL2,East Wales,1911,2015425,826634.453591758
UKM5,North Eastern Scotland,1911,467212,438428.451000884
UKM6,Highlands and Islands,1911,430448,676145.27354292
UKM7,Eastern Scotland,1911,1460834,1649794.02188381
UKM8,West Central Scotland,1911,1789901.5,1689067.19699786
UKM9,Southern Scotland,1911,938357.25,795575.322951315
