statisticalAreaCode,statisticalArea,year,population
FRK22,Ardèche,1936,272698.0
FRF21,Ardennes,1936,288632.0
FRJ21,Ariège,1936,155134.0
FRF22,Aube,1936,239563.0
FRJ11,Aude,1936,285115.0
FRJ22,Aveyron,1936,314682.0
FRL04,Bouches-du-Rhône,1936,1224802.0
FRD11,Calvados,1936,403937.0
FRK12,Cantal,1936,190888.0
FRI31,Charente,1936,309279.0
FRI32,Charente-Maritime,1936,419021.0
FRB01,Cher,1936,288695.0
FRI21,Corrèze,1936,262743.0
FRC11,Côte-dOr,1936,334386.0
FRH01,Côtes-dArmor,1936,531840.0
FRI22,Creuse,1936,201844.0
FRI11,Dordogne,1936,386963.0
FRC21,Doubs,1936,304892.0
FRK23,Drôme,1936,267281.0
FRD21,Eure,1936,303829.0
FRB02,Eure-et-Loir,1936,252527.0
FRH02,Finistère,1936,756793.0
FRM01,Corse-du-Sud,1936,99577.0
FRM02,Haute-Corse,1936,122413.0
FRJ12,Gard,1936,395299.0
FRJ23,Haute-Garonne,1936,458647.0
FRJ24,Gers,1936,192451.0
FRI12,Gironde,1936,850567.0
FRJ13,Hérault,1936,502043.0
FRH03,Ille-et-Vilaine,1936,565766.0
FRB03,Indre,1936,245622.0
FRB04,Indre-et-Loire,1936,343445.0
FRK24,Isère,1936,540895.0
FRC22,Jura,1936,220704.0
FRI13,Landes,1936,251438.0
FRB05,Loir-et-Cher,1936,240913.0
FRK25,Loire,1936,649616.0
FRK13,Haute-Loire,1936,245271.0
FRG01,Loire-Atlantique,1936,660272.0
FRB06,Loiret,1936,343865.0
FRJ25,Lot,1936,162572.0
FRI14,Lot-et-Garonne,1936,252761.0
FRJ14,Lozère,1936,98480.0
FRG02,Maine-et-Loire,1936,477561.0
FRD12,Manche,1936,439535.0
FRF23,Marne,1936,410214.0
FRF24,Haute-Marne,1936,188471.0
FRG03,Mayenne,1936,251348.0
FRF31,Meurthe-et-Moselle,1936,576219.0
FRF32,Meuse,1936,216737.0
FRH04,Morbihan,1936,542248.0
FRF33,Moselle,1936,696246.0
FRC12,Nièvre,1936,249673.0
FRE11,Nord,1936,2022998.0
FRE22,Oise,1936,402569.0
FRD13,Orne,1936,269316.0
FRE12,Pas-de-Calais,1936,1179634.0
FRK14,Puy-de-Dôme,1936,486130.0
FRI15,Pyrénées-Atlantiques,1936,413409.0
FRJ26,Hautes-Pyrénées,1936,188604.0
FRJ15,Pyrénées-Orientales,1936,233347.0
FRF11,Bas-Rhin,1936,711830.0
FRF12,Haut-Rhin,1936,507551.0
FRK26,Rhône,1936,1070218.0
FRC23,Haute-Saône,1936,213077.0
FRC13,Saône-et-Loire,1936,525676.0
FRG04,Sarthe,1936,388519.0
FRK27,Savoie,1936,239115.0
FRK28,Haute-Savoie,1936,259961.0
FR101,Paris,1936,2829753.0
FRD22,Seine-Maritime,1936,915611.0
FR102,Seine-et-Marne,1936,409311.0
FR103,Yvelines,1936,428166.0
FRI33,Deux-Sèvres,1936,308126.0
FRE23,Somme,1936,467092.0
FRJ27,Tarn,1936,297871.0
FRJ28,Tarn-et-Garonne,1936,164629.0
FRL05,Var,1936,398662.0
FRL06,Vaucluse,1936,245508.0
FRG05,Vendée,1936,392021.0
