key,country,statisticalArea1,statisticalArea1Code,statisticalArea2,statisticalArea2Code,statisticalArea3,statisticalArea3Code
B34,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B35,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B36,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B37,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B38,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B4,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B40,GBR,West Midlands (England),UKG,West Midlands,UKG3,Solihull,UKG32
B42,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B43,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B44,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B45,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B46,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B47,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B48,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B49,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B5,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B50,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B6,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B60,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B61,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Worcestershire,UKG12
B62,GBR,West Midlands (England),UKG,West Midlands,UKG3,Dudley,UKG36
B63,GBR,West Midlands (England),UKG,West Midlands,UKG3,Dudley,UKG36
B64,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B65,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B66,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B67,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B68,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B69,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B7,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B70,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B71,GBR,West Midlands (England),UKG,West Midlands,UKG3,Sandwell,UKG37
B72,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B73,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B74,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B75,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B76,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B77,GBR,West Midlands (England),UKG,Shropshire and Staffordshire,UKG2,Staffordshire CC,UKG24
B78,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B79,GBR,West Midlands (England),UKG,Shropshire and Staffordshire,UKG2,Staffordshire CC,UKG24
B8,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
B80,GBR,West Midlands (England),UKG,"Herefordshire, Worcestershire and Warwickshire",UKG1,Warwickshire,UKG13
B9,GBR,West Midlands (England),UKG,West Midlands,UKG3,Birmingham,UKG31
