statisticalAreaCode,statisticalArea,area,country_code
09701,Columbus,2492.78,US
09702,Americus,2107.46,US
09800,Auburn,1855.01,US
09900,Tallahassee,6079.6602,US
10000,Panama City,2815.5801,US
10101,Bainbridge,1163.52,US
10102,Thomasville,1012.5,US
10200,Albany,2471.99,US
10301,Eufaula,2513.3501,US
10302,Dothan,2972.29,US
10400,Meridian,3327.1499,US
10501,Columbus,2106.6699,US
10502,Starkville,2331.3601,US
10600,Jasper,3415.77,US
10700,Birmingham,4693.4399,US
10801,Tuscaloosa,4351.6401,US
10802,Demopolis,3477.1699,US
10900,Pensacola,4369.4702,US
11001,Mobile,6919.98,US
11002,Atmore,2840.24,US
11101,Montgomery,3564.6401,US
11102,Troy,2327.01,US
11201,Bluefield,2744.6699,US
11202,Welch,1036.79,US
11203,Big Stone Gap,1183.73,US
11301,Fredericksburg,1429.12,US
11302,Baltimore,2594.8,US
11303,Colonial Beach,1272.01,US
11304,Washington DC,5967.73,US
11304, Washington DC,5967.73,US
11401,Marquette,12346.811000000003,US
11402,Marinette,5374.27,US
11403,Sault Ste. Marie,6710.4902,US
11500,Jackson,2092.3799,US
11600,Detroit,7734.6499,US
11700,Lansing,1714.6499,US
11800,Mount Pleasant,1724.67,US
11900,Saginaw,6223.0098,US
12001,Big Rapids,2868.6602,US
12002,Ludington,2522.8799,US
12100,Kalamazoo,2965.9299,US
12200,Grand Rapids,9266.6904,US
12301,Traverse City,5166.98,US
12302,Petoskey,3158.46,US
12401,Alpena,7949.5498,US
12402,Grayling,3378.0,US
12501,Dayton,4027.99,US
12502,Washington Court House,1377.3101,US
12600,Wayne,784.78003,US
12701,Cincinnati,4057.21,US
12702,Maysville,1302.75,US
12800,Washington,1830.85,US
12901,Lexington,3041.8501,US
12902,Mount Sterling,688.8200099999998,US
12903,Danville,1006.5,US
13000,Elizabethtown,2314.28,US
13101,Louisville,3600.8901,US
13102,Madison,656.48999,US
13103,Bardstown,1072.53,US
13200,Owensboro,2439.1799,US
13300,Findlay,2382.05,US
13400,Lima,2176.77,US
13501,Toledo,3309.0898,US
13502,Defiance,1256.21,US
13600,South Bend,3926.3201,US
13700,Concord,2312.9299,US
13800,Wayne,1346.85,US
13900,Center,1781.29,US
14000,Muncie,2277.3501,US
14100,Fort Wayne,3166.5901,US
14200,Indianapolis,3814.25,US
14300,Columbus,1494.29,US
14400,Terre Haute,2923.0701,US
14500,Lafayette,3865.48,US
14600,Bloomington,2982.9102,US
14700,Evansville,3336.9299,US
14801,Olney,1802.02,US
14802,Vincennes,898.05005,US
14900,Gary,2112.8401,US
15000,Canton,3510.29,US
15100,Lorain,2043.8101,US
15200,Cleveland,5352.48,US
15300,Parkersburg,2311.8401,US
15400,Zanesville,2440.04,US
15500,Weirton,591.51001,US
15600,Wheeling,2042.05,US
15700,Scioto,2589.6099,US
15800,Athens,1856.99,US
